LAMMPS data file via write_data, version 12 Dec 2018, timestep = 20000000

5074 atoms
2 atom types

-1.8420360088348389e+00 4.087796399116516e+01 xlo xhi
-7.0899999999999996e-01 4.8610999999999996e+01 ylo yhi
-5.0000000000000000e-01 4.6750001904632569e+01 zlo zhi

 Masses

1 12.0107
2 16.04

 Atoms # full

2593 1 1 0.000000 0.000000 0.000000 0.000000 0 0 0
2594 2 1 0.000000 -1.228024 0.709000 0.000000 0 0 0
2595 3 1 0.000000 -1.228024 2.127000 0.000000 0 0 0
2596 4 1 0.000000 0.000000 2.836000 0.000000 0 0 0
2597 5 1 0.000000 2.456048 0.000000 0.000000 0 0 0
2598 6 1 0.000000 1.228024 0.709000 0.000000 0 0 0
2599 7 1 0.000000 1.228024 2.127000 0.000000 0 0 0
2600 8 1 0.000000 2.456048 2.836000 0.000000 0 0 0
2601 9 1 0.000000 4.912096 0.000000 0.000000 0 0 0
2602 10 1 0.000000 3.684072 0.709000 0.000000 0 0 0
2603 11 1 0.000000 3.684072 2.127000 0.000000 0 0 0
2604 12 1 0.000000 4.912096 2.836000 0.000000 0 0 0
2665 73 1 0.000000 0.000000 4.254000 0.000000 0 0 0
2666 74 1 0.000000 -1.228024 4.963000 0.000000 0 0 0
2667 75 1 0.000000 -1.228024 6.381000 0.000000 0 0 0
2668 76 1 0.000000 0.000000 7.090000 0.000000 0 0 0
2669 77 1 0.000000 2.456048 4.254000 0.000000 0 0 0
2670 78 1 0.000000 1.228024 4.963000 0.000000 0 0 0
2671 79 1 0.000000 1.228024 6.381000 0.000000 0 0 0
2672 80 1 0.000000 2.456048 7.090000 0.000000 0 0 0
2673 81 1 0.000000 4.912096 4.254000 0.000000 0 0 0
2674 82 1 0.000000 3.684072 4.963000 0.000000 0 0 0
2675 83 1 0.000000 3.684072 6.381000 0.000000 0 0 0
2676 84 1 0.000000 4.912096 7.090000 0.000000 0 0 0
3457 865 1 0.000000 0.000000 1.418000 3.350000 0 0 0
3458 866 1 0.000000 -1.228024 2.127000 3.350000 0 0 0
3459 867 1 0.000000 -1.228024 3.545000 3.350000 0 0 0
3460 868 1 0.000000 0.000000 4.254000 3.350000 0 0 0
3461 869 1 0.000000 2.456048 1.418000 3.350000 0 0 0
3462 870 1 0.000000 1.228024 2.127000 3.350000 0 0 0
3463 871 1 0.000000 1.228024 3.545000 3.350000 0 0 0
3464 872 1 0.000000 2.456048 4.254000 3.350000 0 0 0
3465 873 1 0.000000 4.912096 1.418000 3.350000 0 0 0
3466 874 1 0.000000 3.684072 2.127000 3.350000 0 0 0
3467 875 1 0.000000 3.684072 3.545000 3.350000 0 0 0
3468 876 1 0.000000 4.912096 4.254000 3.350000 0 0 0
3529 937 1 0.000000 0.000000 5.672000 3.350000 0 0 0
3530 938 1 0.000000 -1.228024 6.381000 3.350000 0 0 0
3531 939 1 0.000000 -1.228024 7.799000 3.350000 0 0 0
3533 941 1 0.000000 2.456048 5.672000 3.350000 0 0 0
3534 942 1 0.000000 1.228024 6.381000 3.350000 0 0 0
3535 943 1 0.000000 1.228024 7.799000 3.350000 0 0 0
3537 945 1 0.000000 4.912096 5.672000 3.350000 0 0 0
3538 946 1 0.000000 3.684072 6.381000 3.350000 0 0 0
3539 947 1 0.000000 3.684072 7.799000 3.350000 0 0 0
4321 1729 1 0.000000 0.000000 0.000000 6.700000 0 0 0
4322 1730 1 0.000000 -1.228024 0.709000 6.700000 0 0 0
4323 1731 1 0.000000 -1.228024 2.127000 6.700000 0 0 0
4324 1732 1 0.000000 0.000000 2.836000 6.700000 0 0 0
4325 1733 1 0.000000 2.456048 0.000000 6.700000 0 0 0
4326 1734 1 0.000000 1.228024 0.709000 6.700000 0 0 0
4327 1735 1 0.000000 1.228024 2.127000 6.700000 0 0 0
4328 1736 1 0.000000 2.456048 2.836000 6.700000 0 0 0
4329 1737 1 0.000000 4.912096 0.000000 6.700000 0 0 0
4330 1738 1 0.000000 3.684072 0.709000 6.700000 0 0 0
4331 1739 1 0.000000 3.684072 2.127000 6.700000 0 0 0
4332 1740 1 0.000000 4.912096 2.836000 6.700000 0 0 0
4393 1801 1 0.000000 0.000000 4.254000 6.700000 0 0 0
4394 1802 1 0.000000 -1.228024 4.963000 6.700000 0 0 0
4395 1803 1 0.000000 -1.228024 6.381000 6.700000 0 0 0
4396 1804 1 0.000000 0.000000 7.090000 6.700000 0 0 0
4397 1805 1 0.000000 2.456048 4.254000 6.700000 0 0 0
4398 1806 1 0.000000 1.228024 4.963000 6.700000 0 0 0
4399 1807 1 0.000000 1.228024 6.381000 6.700000 0 0 0
4400 1808 1 0.000000 2.456048 7.090000 6.700000 0 0 0
4401 1809 1 0.000000 4.912096 4.254000 6.700000 0 0 0
4402 1810 1 0.000000 3.684072 4.963000 6.700000 0 0 0
4403 1811 1 0.000000 3.684072 6.381000 6.700000 0 0 0
4404 1812 1 0.000000 4.912096 7.090000 6.700000 0 0 0
2605 13 1 0.000000 7.368144 0.000000 0.000000 0 0 0
2606 14 1 0.000000 6.140120 0.709000 0.000000 0 0 0
2607 15 1 0.000000 6.140120 2.127000 0.000000 0 0 0
2608 16 1 0.000000 7.368144 2.836000 0.000000 0 0 0
2609 17 1 0.000000 9.824192 0.000000 0.000000 0 0 0
2610 18 1 0.000000 8.596169 0.709000 0.000000 0 0 0
2611 19 1 0.000000 8.596169 2.127000 0.000000 0 0 0
2612 20 1 0.000000 9.824192 2.836000 0.000000 0 0 0
2613 21 1 0.000000 12.280240 0.000000 0.000000 0 0 0
2614 22 1 0.000000 11.052217 0.709000 0.000000 0 0 0
